gemini_symbolic
"Here are rule-based checking constraints derived from the provided API structure for the `tensorflow` (tf) module:

*   **Module Identity and Import Convention:** The module must be importable under the name `tensorflow` and commonly referred to using the alias `tf`.
*   **Content Origin Constraint:** Public attributes (functions, classes, constants, sub-modules, etc.) accessed directly via `tf.` (e.g., `tf.constant`, `tf.Variable`, `tf.keras`) should be references to objects defined within TensorFlow's sub-modules, not defined directly in the top-level `tensorflow/__init__.py` source file (except potentially for internal setup details).
*   **Aggregation Functionality:** The `tf` module must successfully aggregate and re-export public interfaces from its sub-modules, ensuring that core TensorFlow functionalities are accessible directly under the `tf` namespace.
*   **Namespace Consistency:** The `tf` module should provide a coherent and comprehensive public namespace by exposing a wide range of types, functions, etc., gathered from its underlying sub-modules."
"Based on the provided API structure (which appears to be a generic API definition, not specific to typical `tensorflow.keras` layers, models, etc., but rather illustrates structure types and function signatures), here are rule-based checking constraints:

**General Constraints:**

*   All defined types and functions must adhere to the structure provided (e.g., correct field names and types for structs, correct parameter names and types for functions).

**Type-Specific Constraints:**

*   **SomeType:**
    *   Must contain a field named `field1` of type `String`.
    *   Must contain a field named `field2` of type `Int`.
*   **AnotherStruct:**
    *   Must contain a field named `id` of type `Int`.
    *   Must contain a field named `value` of type `Float`.
*   **BasicType:**
    *   Must represent or be equivalent to an `Int`.
*   **Void:**
    *   Represents the absence of a return value from a function. Cannot be used as a parameter type or field type.
*   **Bytes:**
    *   Represents a sequence of bytes.
*   **String:**
    *   Represents a sequence of characters.
*   **Int:**
    *   Represents an integer number.
*   **Float:**
    *   Represents a floating-point number.
*   **ProcessOptions:**
    *   Must contain a field named `timeout` of type `Int`.
    *   Must contain a field named `retries` of type `Int`.
*   **ResultType:**
    *   Must contain a field named `status` of type `String`.
    *   Must contain a field named `output` of type `String`.

**Function-Specific Constraints:**

*   **getValue:**
    *   Must accept exactly one parameter.
    *   The single parameter must be named `input` and be of type `SomeType`.
    *   Must return a value of type `AnotherStruct`.
*   **calculateTotal:**
    *   Must accept exactly one parameter.
    *   The single parameter must be named `items` and be of type `[Int]` (a list or array of Integers).
    *   Must return a value of type `Float`.
*   **processData:**
    *   Must accept exactly two parameters.
    *   The first parameter must be named `data` and be of type `Bytes`.
    *   The second parameter must be named `options` and be of type `ProcessOptions`.
    *   Must return a value of type `ResultType`.
*   **getStatus:**
    *   Must accept zero parameters.
    *   Must return a value of type `String`.
*   **shutdown:**
    *   Must accept zero parameters.
    *   Must return a value of type `Void` (no return value)."
"Here are rule-based checking constraints for the `keras.Sequential` component based on the provided API structure:

*   **Constructor (`keras.Sequential`)**: Must be called without arguments (based on the provided signature `parameters: []`).
*   **Adding Layers (`add`)**:
    *   Must be called with exactly one argument.
    *   The argument (`layer`) must be an instance of `keras.layers.Layer` (or a subclass like `Dense`, `Input`).
*   **Manual Building (`build`)**:
    *   Can be called to explicitly build the model.
    *   Must be called with exactly one argument (`batch_input_shape`).
    *   The argument (`batch_input_shape`) must be a `tuple`.
*   **Compiling (`compile`)**:
    *   Must be called with at least two arguments.
    *   The `optimizer` argument must be a `str`.
    *   The `loss` argument must be a `str`.
    *   (Based on JSON, `compile` does not explicitly *require* the model to be built first).
*   **Training (`fit`)**:
    *   Must be called with at least four arguments: `x`, `y`, `batch_size`, `epochs`.
    *   The `batch_size` argument must be an `int`.
    *   The `epochs` argument must be an `int`.
    *   Can be called on an unbuilt model; this will trigger the build process if the input shape can be inferred from `x`.
*   **Calling/Inference (`__call__` / `model(...)`)**:
    *   Must be called with exactly one argument (`inputs`).
    *   Can be called on an unbuilt model; this will trigger the build process if the input shape can be inferred from `inputs`.
*   **Model State (`Built State`)**:
    *   The model is not necessarily built immediately upon creation (Delayed-Build Pattern).
    *   The model becomes built either by:
        *   Adding an `keras.Input` layer as the first layer.
        *   Calling the `build()` method.
        *   Calling the model with data (via `fit`, `__call__`, potentially `eval`, `predict`).
*   **Attributes (`weights`)**:
    *   The `weights` attribute is only populated after the model has been successfully built. Accessing it before building will result in an empty list or similar state indicating no weights exist yet."
"Here are the rule based checking constraints for the Dense component based on the provided structure:

*   **units**: Must be a positive integer. It is a required argument.
*   **activation**: If provided, must be a string or a callable/function.
*   **use_bias**: If provided, must be a boolean value.
*   **kernel_initializer**, **bias_initializer**, **kernel_regularizer**, **bias_regularizer**, **activity_regularizer**, **kernel_constraint**, **bias_constraint**: If provided, must be of the specified type (Initializer/string, Regularizer/string, Constraint/string) respectively.
*   **bias_initializer**, **bias_regularizer**, **bias_constraint**: These arguments are only relevant and used if `use_bias` is set to `True`.
*   **lora_rank**: If provided, must be an integer.
*   **Input Shape**: The layer expects an input tensor with rank >= 2. The size of the last dimension of the input tensor (`input_dim`) implicitly determines the size of the first dimension of the layer's `kernel` weights matrix (`kernel.shape[0]`), as the dot product is computed along these dimensions."
"Here are rule-based checking constraints for the `Input` component based on the provided structure:

*   At least one of the arguments `shape`, `batch_shape`, or `tensor` must be provided to define the input structure.
*   If provided, `shape` must be a tuple where each element is an integer or `None`. It should not include the batch dimension.
*   If provided, `batch_shape` must be a tuple where each element is an integer or `None`. It includes the batch dimension as the first element.
*   If both `shape` and `batch_shape` are provided, their non-batch dimensions must be compatible (e.g., the length of `batch_shape` minus 1 should equal the length of `shape`, and corresponding dimensions should match or be `None`).
*   If provided, `batch_size` must be an integer.
*   If both `batch_size` and `batch_shape` are provided, the batch dimension specified in `batch_shape` (the first element) must be equal to `batch_size` or `None`.
*   If provided, `dtype` must be a string representing a valid data type.
*   If provided, `sparse` must be a boolean.
*   If provided, `name` must be a string. Names should ideally be unique within a model context (though this is often checked at model creation, not `Input` call time).
*   If provided, `tensor` must be an object of type `Tensor` (a backend-specific tensor).
