API Component,Documentation
tensorflow,"Top-level module of TensorFlow. By convention, we refer to this module as `tf` instead of `tensorflow`, following the common practice of importing TensorFlow via the command `import tensorflow as tf`.  The primary function of this module is to import all of the public TensorFlow interfaces into a single place. The interfaces themselves are located in sub-modules, as described below.  Note that the file `__init__.py` in the TensorFlow source code tree is actually only a placeholder to enable test cases to run. The TensorFlow build replaces this file with a file generated from [`api_template.__init__.py`](https://www.github.com/tensorflow/tensorflow/blob/master/tensorflow/api_template.__init__.py)"
tensorflow.keras,"DO NOT EDIT.  This file was autogenerated. Do not edit it by hand, since your modifications would be overwritten."
Sequential,"`Sequential` groups a linear stack of layers into a `Model`.  Examples:  ```python model = keras.Sequential() model.add(keras.Input(shape=(16,))) model.add(keras.layers.Dense(8))  # Note that you can also omit the initial `Input`. # In that case the model doesn't have any weights until the first call # to a training/evaluation method (since it isn't yet built): model = keras.Sequential() model.add(keras.layers.Dense(8)) model.add(keras.layers.Dense(4)) # model.weights not created yet  # Whereas if you specify an `Input`, the model gets built # continuously as you are adding layers: model = keras.Sequential() model.add(keras.Input(shape=(16,))) model.add(keras.layers.Dense(8)) len(model.weights)  # Returns ""2""  # When using the delayed-build pattern (no input shape specified), you can # choose to manually build your model by calling # `build(batch_input_shape)`: model = keras.Sequential() model.add(keras.layers.Dense(8)) model.add(keras.layers.Dense(4)) model.build((None, 16)) len(model.weights)  # Returns ""4""  # Note that when using the delayed-build pattern (no input shape specified), # the model gets built the first time you call `fit`, `eval`, or `predict`, # or the first time you call the model on some input data. model = keras.Sequential() model.add(keras.layers.Dense(8)) model.add(keras.layers.Dense(1)) model.compile(optimizer='sgd', loss='mse') # This builds the model for the first time: model.fit(x, y, batch_size=32, epochs=10) ```"
Dense,"Just your regular densely-connected NN layer.  `Dense` implements the operation: `output = activation(dot(input, kernel) + bias)` where `activation` is the element-wise activation function passed as the `activation` argument, `kernel` is a weights matrix created by the layer, and `bias` is a bias vector created by the layer (only applicable if `use_bias` is `True`).  Note: If the input to the layer has a rank greater than 2, `Dense` computes the dot product between the `inputs` and the `kernel` along the last axis of the `inputs` and axis 0 of the `kernel` (using `tf.tensordot`). For example, if input has dimensions `(batch_size, d0, d1)`, then we create a `kernel` with shape `(d1, units)`, and the `kernel` operates along axis 2 of the `input`, on every sub-tensor of shape `(1, 1, d1)` (there are `batch_size * d0` such sub-tensors). The output in this case will have shape `(batch_size, d0, units)`.  Args:     units: Positive integer, dimensionality of the output space.     activation: Activation function to use.         If you don't specify anything, no activation is applied         (ie. ""linear"" activation: `a(x) = x`).     use_bias: Boolean, whether the layer uses a bias vector.     kernel_initializer: Initializer for the `kernel` weights matrix.     bias_initializer: Initializer for the bias vector.     kernel_regularizer: Regularizer function applied to         the `kernel` weights matrix.     bias_regularizer: Regularizer function applied to the bias vector.     activity_regularizer: Regularizer function applied to         the output of the layer (its ""activation"").     kernel_constraint: Constraint function applied to         the `kernel` weights matrix.     bias_constraint: Constraint function applied to the bias vector.     lora_rank: Optional integer. If set, the layer's forward pass         will implement LoRA (Low-Rank Adaptation)         with the provided rank. LoRA sets the layer's kernel         to non-trainable and replaces it with a delta over the         original kernel, obtained via multiplying two lower-rank         trainable matrices. This can be useful to reduce the         computation cost of fine-tuning large dense layers.         You can also enable LoRA on an existing         `Dense` layer by calling `layer.enable_lora(rank)`.  Input shape:     N-D tensor with shape: `(batch_size, ..., input_dim)`.     The most common situation would be     a 2D input with shape `(batch_size, input_dim)`.  Output shape:     N-D tensor with shape: `(batch_size, ..., units)`.     For instance, for a 2D input with shape `(batch_size, input_dim)`,     the output would have shape `(batch_size, units)`."
Input,"Used to instantiate a Keras tensor.  A Keras tensor is a symbolic tensor-like object, which we augment with certain attributes that allow us to build a Keras model just by knowing the inputs and outputs of the model.  For instance, if `a`, `b` and `c` are Keras tensors, it becomes possible to do: `model = Model(input=[a, b], output=c)`  Args:     shape: A shape tuple (tuple of integers or `None` objects),         not including the batch size.         For instance, `shape=(32,)` indicates that the expected input         will be batches of 32-dimensional vectors. Elements of this tuple         can be `None`; `None` elements represent dimensions where the shape         is not known and may vary (e.g. sequence length).     batch_size: Optional static batch size (integer).     dtype: The data type expected by the input, as a string         (e.g. `""float32""`, `""int32""`...)     sparse: A boolean specifying whether the expected input will be sparse         tensors. Note that, if `sparse` is `False`, sparse tensors can still         be passed into the input - they will be densified with a default         value of 0. This feature is only supported with the TensorFlow         backend. Defaults to `False`.     batch_shape: Optional shape tuple (tuple of integers or `None` objects),         including the batch size.     name: Optional name string for the layer.         Should be unique in a model (do not reuse the same name twice).         It will be autogenerated if it isn't provided.     tensor: Optional existing tensor to wrap into the `Input` layer.         If set, the layer will use this tensor rather         than creating a new placeholder tensor.     optional: Boolean, whether the input is optional or not.         An optional input can accept `None` values.  Returns:   A Keras tensor.  Example:  ```python # This is a logistic regression in Keras x = Input(shape=(32,)) y = Dense(16, activation='softmax')(x) model = Model(x, y) ```"
Concatenate,"Concatenates a list of inputs.  It takes as input a list of tensors, all of the same shape except for the concatenation axis, and returns a single tensor that is the concatenation of all inputs.  Examples:  >>> x = np.arange(20).reshape(2, 2, 5) >>> y = np.arange(20, 30).reshape(2, 1, 5) >>> keras.layers.Concatenate(axis=1)([x, y])  Usage in a Keras model:  >>> x1 = keras.layers.Dense(8)(np.arange(10).reshape(5, 2)) >>> x2 = keras.layers.Dense(8)(np.arange(10, 20).reshape(5, 2)) >>> y = keras.layers.Concatenate()([x1, x2])  Args:     axis: Axis along which to concatenate.     **kwargs: Standard layer keyword arguments.  Returns:     A tensor, the concatenation of the inputs alongside axis `axis`."
fetch_california_housing,"Load the California housing dataset (regression).  ==============   ============== Samples total             20640 Dimensionality                8 Features                   real Target           real 0.15 - 5. ==============   ==============  Read more in the :ref:`User Guide <california_housing_dataset>`.  Parameters ---------- data_home : str or path-like, default=None     Specify another download and cache folder for the datasets. By default     all scikit-learn data is stored in '~/scikit_learn_data' subfolders.  download_if_missing : bool, default=True     If False, raise an OSError if the data is not locally available     instead of trying to download the data from the source site.  return_X_y : bool, default=False     If True, returns ``(data.data, data.target)`` instead of a Bunch     object.      .. versionadded:: 0.20  as_frame : bool, default=False     If True, the data is a pandas DataFrame including columns with     appropriate dtypes (numeric, string or categorical). The target is     a pandas DataFrame or Series depending on the number of target_columns.      .. versionadded:: 0.23  n_retries : int, default=3     Number of retries when HTTP errors are encountered.      .. versionadded:: 1.5  delay : float, default=1.0     Number of seconds between retries.      .. versionadded:: 1.5  Returns ------- dataset : :class:`~sklearn.utils.Bunch`     Dictionary-like object, with the following attributes.      data : ndarray, shape (20640, 8)         Each row corresponding to the 8 feature values in order.         If ``as_frame`` is True, ``data`` is a pandas object.     target : numpy array of shape (20640,)         Each value corresponds to the average         house value in units of 100,000.         If ``as_frame`` is True, ``target`` is a pandas object.     feature_names : list of length 8         Array of ordered feature names used in the dataset.     DESCR : str         Description of the California housing dataset.     frame : pandas DataFrame         Only present when `as_frame=True`. DataFrame with ``data`` and         ``target``.          .. versionadded:: 0.23  (data, target) : tuple if ``return_X_y`` is True     A tuple of two ndarray. The first containing a 2D array of     shape (n_samples, n_features) with each row representing one     sample and each column representing the features. The second     ndarray of shape (n_samples,) containing the target samples.      .. versionadded:: 0.20  Notes -----  This dataset consists of 20,640 samples and 9 features.  Examples -------- >>> from sklearn.datasets import fetch_california_housing >>> housing = fetch_california_housing() >>> print(housing.data.shape, housing.target.shape) (20640, 8) (20640,) >>> print(housing.feature_names[0:6]) ['MedInc', 'HouseAge', 'AveRooms', 'AveBedrms', 'Population', 'AveOccup']"
make_classification,"Generate a random n-class classification problem.  This initially creates clusters of points normally distributed (std=1) about vertices of an ``n_informative``-dimensional hypercube with sides of length ``2*class_sep`` and assigns an equal number of clusters to each class. It introduces interdependence between these features and adds various types of further noise to the data.  Without shuffling, ``X`` horizontally stacks features in the following order: the primary ``n_informative`` features, followed by ``n_redundant`` linear combinations of the informative features, followed by ``n_repeated`` duplicates, drawn randomly with replacement from the informative and redundant features. The remaining features are filled with random noise. Thus, without shuffling, all useful features are contained in the columns ``X[:, :n_informative + n_redundant + n_repeated]``.  Read more in the :ref:`User Guide <sample_generators>`.  Parameters ---------- n_samples : int, default=100     The number of samples.  n_features : int, default=20     The total number of features. These comprise ``n_informative``     informative features, ``n_redundant`` redundant features,     ``n_repeated`` duplicated features and     ``n_features-n_informative-n_redundant-n_repeated`` useless features     drawn at random.  n_informative : int, default=2     The number of informative features. Each class is composed of a number     of gaussian clusters each located around the vertices of a hypercube     in a subspace of dimension ``n_informative``. For each cluster,     informative features are drawn independently from  N(0, 1) and then     randomly linearly combined within each cluster in order to add     covariance. The clusters are then placed on the vertices of the     hypercube.  n_redundant : int, default=2     The number of redundant features. These features are generated as     random linear combinations of the informative features.  n_repeated : int, default=0     The number of duplicated features, drawn randomly from the informative     and the redundant features.  n_classes : int, default=2     The number of classes (or labels) of the classification problem.  n_clusters_per_class : int, default=2     The number of clusters per class.  weights : array-like of shape (n_classes,) or (n_classes - 1,),              default=None     The proportions of samples assigned to each class. If None, then     classes are balanced. Note that if ``len(weights) == n_classes - 1``,     then the last class weight is automatically inferred.     More than ``n_samples`` samples may be returned if the sum of     ``weights`` exceeds 1. Note that the actual class proportions will     not exactly match ``weights`` when ``flip_y`` isn't 0.  flip_y : float, default=0.01     The fraction of samples whose class is assigned randomly. Larger     values introduce noise in the labels and make the classification     task harder. Note that the default setting flip_y > 0 might lead     to less than ``n_classes`` in y in some cases.  class_sep : float, default=1.0     The factor multiplying the hypercube size.  Larger values spread     out the clusters/classes and make the classification task easier.  hypercube : bool, default=True     If True, the clusters are put on the vertices of a hypercube. If     False, the clusters are put on the vertices of a random polytope.  shift : float, ndarray of shape (n_features,) or None, default=0.0     Shift features by the specified value. If None, then features     are shifted by a random value drawn in [-class_sep, class_sep].  scale : float, ndarray of shape (n_features,) or None, default=1.0     Multiply features by the specified value. If None, then features     are scaled by a random value drawn in [1, 100]. Note that scaling     happens after shifting.  shuffle : bool, default=True     Shuffle the samples and the features.  random_state : int, RandomState instance or None, default=None     Determines random number generation for dataset creation. Pass an int     for reproducible output across multiple function calls.     See :term:`Glossary <random_state>`.  Returns ------- X : ndarray of shape (n_samples, n_features)     The generated samples.  y : ndarray of shape (n_samples,)     The integer labels for class membership of each sample.  See Also -------- make_blobs : Simplified variant. make_multilabel_classification : Unrelated generator for multilabel tasks.  Notes ----- The algorithm is adapted from Guyon [1] and was designed to generate the ""Madelon"" dataset.  References ---------- .. [1] I. Guyon, ""Design of experiments for the NIPS 2003 variable        selection benchmark"", 2003.  Examples -------- >>> from sklearn.datasets import make_classification >>> X, y = make_classification(random_state=42) >>> X.shape (100, 20) >>> y.shape (100,) >>> list(y[:5]) [np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0)]"
train_test_split,"Split arrays or matrices into random train and test subsets.  Quick utility that wraps input validation, ``next(ShuffleSplit().split(X, y))``, and application to input data into a single call for splitting (and optionally subsampling) data into a one-liner.  Read more in the :ref:`User Guide <cross_validation>`.  Parameters ---------- *arrays : sequence of indexables with same length / shape[0]     Allowed inputs are lists, numpy arrays, scipy-sparse     matrices or pandas dataframes.  test_size : float or int, default=None     If float, should be between 0.0 and 1.0 and represent the proportion     of the dataset to include in the test split. If int, represents the     absolute number of test samples. If None, the value is set to the     complement of the train size. If ``train_size`` is also None, it will     be set to 0.25.  train_size : float or int, default=None     If float, should be between 0.0 and 1.0 and represent the     proportion of the dataset to include in the train split. If     int, represents the absolute number of train samples. If None,     the value is automatically set to the complement of the test size.  random_state : int, RandomState instance or None, default=None     Controls the shuffling applied to the data before applying the split.     Pass an int for reproducible output across multiple function calls.     See :term:`Glossary <random_state>`.  shuffle : bool, default=True     Whether or not to shuffle the data before splitting. If shuffle=False     then stratify must be None.  stratify : array-like, default=None     If not None, data is split in a stratified fashion, using this as     the class labels.     Read more in the :ref:`User Guide <stratification>`.  Returns ------- splitting : list, length=2 * len(arrays)     List containing train-test split of inputs.      .. versionadded:: 0.16         If the input is sparse, the output will be a         ``scipy.sparse.csr_matrix``. Else, output type is the same as the         input type.  Examples -------- >>> import numpy as np >>> from sklearn.model_selection import train_test_split >>> X, y = np.arange(10).reshape((5, 2)), range(5) >>> X array([[0, 1],        [2, 3],        [4, 5],        [6, 7],        [8, 9]]) >>> list(y) [0, 1, 2, 3, 4]  >>> X_train, X_test, y_train, y_test = train_test_split( ...     X, y, test_size=0.33, random_state=42) ... >>> X_train array([[4, 5],        [0, 1],        [6, 7]]) >>> y_train [2, 0, 3] >>> X_test array([[2, 3],        [8, 9]]) >>> y_test [1, 4]  >>> train_test_split(y, shuffle=False) [[0, 1, 2], [3, 4]]"
StandardScaler,"Standardize features by removing the mean and scaling to unit variance.  The standard score of a sample `x` is calculated as:  .. code-block:: text      z = (x - u) / s  where `u` is the mean of the training samples or zero if `with_mean=False`, and `s` is the standard deviation of the training samples or one if `with_std=False`.  Centering and scaling happen independently on each feature by computing the relevant statistics on the samples in the training set. Mean and standard deviation are then stored to be used on later data using :meth:`transform`.  Standardization of a dataset is a common requirement for many machine learning estimators: they might behave badly if the individual features do not more or less look like standard normally distributed data (e.g. Gaussian with 0 mean and unit variance).  For instance many elements used in the objective function of a learning algorithm (such as the RBF kernel of Support Vector Machines or the L1 and L2 regularizers of linear models) assume that all features are centered around 0 and have variance in the same order. If a feature has a variance that is orders of magnitude larger than others, it might dominate the objective function and make the estimator unable to learn from other features correctly as expected.  `StandardScaler` is sensitive to outliers, and the features may scale differently from each other in the presence of outliers. For an example visualization, refer to :ref:`Compare StandardScaler with other scalers <plot_all_scaling_standard_scaler_section>`.  This scaler can also be applied to sparse CSR or CSC matrices by passing `with_mean=False` to avoid breaking the sparsity structure of the data.  Read more in the :ref:`User Guide <preprocessing_scaler>`.  Parameters ---------- copy : bool, default=True     If False, try to avoid a copy and do inplace scaling instead.     This is not guaranteed to always work inplace; e.g. if the data is     not a NumPy array or scipy.sparse CSR matrix, a copy may still be     returned.  with_mean : bool, default=True     If True, center the data before scaling.     This does not work (and will raise an exception) when attempted on     sparse matrices, because centering them entails building a dense     matrix which in common use cases is likely to be too large to fit in     memory.  with_std : bool, default=True     If True, scale the data to unit variance (or equivalently,     unit standard deviation).  Attributes ---------- scale_ : ndarray of shape (n_features,) or None     Per feature relative scaling of the data to achieve zero mean and unit     variance. Generally this is calculated using `np.sqrt(var_)`. If a     variance is zero, we can't achieve unit variance, and the data is left     as-is, giving a scaling factor of 1. `scale_` is equal to `None`     when `with_std=False`.      .. versionadded:: 0.17        *scale_*  mean_ : ndarray of shape (n_features,) or None     The mean value for each feature in the training set.     Equal to ``None`` when ``with_mean=False`` and ``with_std=False``.  var_ : ndarray of shape (n_features,) or None     The variance for each feature in the training set. Used to compute     `scale_`. Equal to ``None`` when ``with_mean=False`` and     ``with_std=False``.  n_features_in_ : int     Number of features seen during :term:`fit`.      .. versionadded:: 0.24  feature_names_in_ : ndarray of shape (`n_features_in_`,)     Names of features seen during :term:`fit`. Defined only when `X`     has feature names that are all strings.      .. versionadded:: 1.0  n_samples_seen_ : int or ndarray of shape (n_features,)     The number of samples processed by the estimator for each feature.     If there are no missing samples, the ``n_samples_seen`` will be an     integer, otherwise it will be an array of dtype int. If     `sample_weights` are used it will be a float (if no missing data)     or an array of dtype float that sums the weights seen so far.     Will be reset on new calls to fit, but increments across     ``partial_fit`` calls.  See Also -------- scale : Equivalent function without the estimator API.  :class:`~sklearn.decomposition.PCA` : Further removes the linear     correlation across features with 'whiten=True'.  Notes ----- NaNs are treated as missing values: disregarded in fit, and maintained in transform.  We use a biased estimator for the standard deviation, equivalent to `numpy.std(x, ddof=0)`. Note that the choice of `ddof` is unlikely to affect model performance.  Examples -------- >>> from sklearn.preprocessing import StandardScaler >>> data = [[0, 0], [0, 0], [1, 1], [1, 1]] >>> scaler = StandardScaler() >>> print(scaler.fit(data)) StandardScaler() >>> print(scaler.mean_) [0.5 0.5] >>> print(scaler.transform(data)) [[-1. -1.]  [-1. -1.]  [ 1.  1.]  [ 1.  1.]] >>> print(scaler.transform([[2, 2]])) [[3. 3.]]"
